"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/README.md", "Markdown", 0, 93, 0, 0, 38, 131
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/__init__.py", "Python", 0, 0, 0, 0, 2, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/base_llm_operation.py", "Python", 106, 0, 0, 0, 20, 126
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/bedrock_client.py", "Python", 88, 0, 0, 0, 14, 102
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/call_bedrock.py", "Python", 67, 0, 0, 0, 6, 73
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/fm_config.py", "Python", 100, 0, 0, 2, 2, 104
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/foundation_models.py", "Python", 6, 0, 0, 0, 3, 9
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/local_interfaces_typehinter.py", "Python", 9, 0, 0, 0, 5, 14
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/embedding_client/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/embedding_client/bedrock_embedding_generator.py", "Python", 28, 0, 0, 0, 4, 32
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/http_client.py", "Python", 68, 0, 0, 0, 12, 80
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/async_redisclient.py", "Python", 58, 0, 0, 0, 17, 75
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/sync_redisclient.py", "Python", 52, 0, 0, 1, 16, 69
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/__init__.py", "Python", 4, 0, 0, 0, 1, 5
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/helpers.py", "Python", 38, 0, 0, 7, 11, 56
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/initiator.py", "Python", 37, 0, 0, 1, 9, 47
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/message_handler.py", "Python", 72, 0, 0, 12, 14, 98
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/polling.py", "Python", 100, 0, 0, 0, 15, 115
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/post_message.py", "Python", 60, 0, 0, 0, 10, 70
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/queue_config.py", "Python", 16, 0, 0, 0, 7, 23
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/context/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/context/vars.py", "Python", 6, 0, 0, 0, 2, 8
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/interfaces/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/interfaces/interfaces_pd.py", "Python", 16, 0, 0, 0, 8, 24
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/interfaces/interfaces_th.py", "Python", 47, 0, 0, 0, 18, 65
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/ioc/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/ioc/singleton.py", "Python", 14, 0, 0, 0, 7, 21
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/logging/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/logging/base_logger.py", "Python", 87, 0, 0, 2, 20, 109
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/logging/logger_decorator.py", "Python", 32, 0, 0, 0, 5, 37
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/messaging_utils/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/messaging_utils/async_task_handler.py", "Python", 78, 0, 0, 0, 13, 91
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/middlewares/__init__.py", "Python", 6, 0, 0, 0, 2, 8
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/middlewares/message_middlewares.py", "Python", 59, 0, 0, 0, 6, 65
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/middlewares/rate_limiter_middleware.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/middlewares/rest_middlewares.py", "Python", 181, 0, 0, 3, 29, 213
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/mongo_utils/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/mongo_utils/base_repository.py", "Python", 12, 0, 0, 0, 5, 17
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/mongo_utils/transactions.py", "Python", 71, 0, 0, 2, 19, 92
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/utils/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/utils/context_utils.py", "Python", 8, 0, 0, 0, 4, 12
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/utils/jwt_validation.py", "Python", 59, 0, 0, 0, 11, 70
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/requirements.txt", "pip requirements", 0, 0, 13, 0, 0, 13
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/setup.py", "Python", 20, 0, 0, 2, 4, 26
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/tests/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/tests/unit/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"Total", "-", 1626, 93, 13, 32, 373, 2137